objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,tipo_ruta_troncal,tipo_operacion,tipo_bus_ruta_troncal,estado_ruta_troncal,longitud_ruta_troncal,globalid
1,M86-K86CV,M86-K86CV,M86-K86,AEROPUERTO EL DORADO,HACIENDA SANTA BARBARA,DUAL,Ciclovia,DUAL,OPERATIVA,53.62765116,{3E7EA1AA-FD8B-4358-A23A-09F753C45346}
2,1-1,1 U,1,UNIVERSIDADES,PORTAL ELDORADO,TRONCAL,Normal,BIARTICULADO,OPERATIVA,11.81923146,{E7A0492E-2EE7-437C-8115-ADB66463EEE8}
3,1-2,1 P,1,PORTAL ELDORADO,UNIVERSIDADES,TRONCAL,Normal,BIARTICULADO,OPERATIVA,10.98304712,{0F4B3F6B-CF49-4189-AE3A-1BC873D7BC02}
4,B23,B23,BK23,PORTAL ELDORADO,ALCALA,TRONCAL,Normal,BIARTICULADO,OPERATIVA,23.03229134,{86102C48-9D3B-4838-A27B-6DA4399EA6B7}
5,6-2,6 P,6,PORTAL 80,UNIVERSIDADES,TRONCAL,Normal,ARTICULADO,OPERATIVA,15.49303806,{F19AA9D1-570A-4A2A-984F-357F6685FCA2}
6,C73,C73,CJ73,UNIVERSIDADES,PORTAL SUBA,TRONCAL,Normal,BIARTICULADO,OPERATIVA,22.88551072,{B1F3885D-A4E7-41D9-9571-2F7CB4672CE6}
7,3-2,3 P,3,PORTAL USME,CONCEJO DE BOGOTA,TRONCAL,Normal,ARTICULADO,OPERATIVA,15.78225701,{9DFEE118-967E-4BD8-B425-E51D590594CB}
8,L10,L10,KL10,PORTAL ELDORADO,PORTAL 20 DE JULIO,TRONCAL,Normal,BIARTICULADO,OPERATIVA,17.44256199,{2231B7FE-E5FE-4503-967F-83BABE605E84}
9,G22,G22,DG22,PORTAL 80,PORTAL SUR,TRONCAL,Normal,BIARTICULADO,OPERATIVA,23.50713378,{A6053181-1897-4E13-9ACF-B8B07C04D902}
10,6-1,6 U,6,UNIVERSIDADES,PORTAL 80,TRONCAL,Normal,ARTICULADO,OPERATIVA,15.06561955,{47EF56EA-1FF5-4DB5-82D0-DAF0750FD272}
11,4-2,4 P,4,PORTAL SUR,HEROES,TRONCAL,Normal,ARTICULADO,OPERATIVA,19.25706859,{0A54537F-B3C0-431C-8E73-AD45CADB63D9}
12,D81-M81C,D81-M81,D81-M81,MUSEO NACIONAL,PUENTE DE GUADUA,DUAL,Refuerzo,DUAL,OPERATIVA,25.57949784,{05CB448A-476C-41E9-BE6A-64C59A56808E}
13,M51,M51,FM51,PORTAL AMERICAS,MUSEO NACIONAL,TRONCAL,Normal,BIARTICULADO,OPERATIVA,15.49358753,{EF42E3FD-29A1-49F6-9DFA-07E2F6A565E2}
14,M86-K86A,M86-K86A,M86-K86,AEROPUERTO EL DORADO,HACIENDA SANTA BARBARA,DUAL,Refuerzo,DUAL,OPERATIVA,5.94426966,{A2956C7B-B12D-487A-B9AF-45DEE1C76B63}
15,B10,B10,BD10,PORTAL 80,PORTAL NORTE,TRONCAL,Normal,BIARTICULADO,OPERATIVA,17.43086066,{A8C765F8-BDE5-4747-AFD2-4020C6D39933}
